Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-02-01 4:20:03,spe,spej,SPE-209607-PA,Pre-editing,Editor,level-2,Kindly fix the validation error1.JPG,Validation cleared,Structure Content,Validation issue,Pre-processing,Product,People Training,Ranjithkumar Murugan,9h 8m
2022-02-01 2:55:47,bmj,edpract,edpract-2021-323228,Final Deliverables,Editor,level-2,copy right year 2022,Copyright year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 30m
2022-02-01 8:49:29,bmj,postgradmedj,postgradmedj-2021-141365,Typesetter Review,Editor,level-2,"(1) place ""What is already known on the subject "" box in page 7 (bottom). (2) also, place all boxes before Acknowledgments. (3) delete space before acknowledgement and last box (check pdf)",Box moved before Acknowledgements section please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 59m
2022-02-01 10:59:54,bmj,postgradmedj,postgradmedj-2021-141365,Typesetter Review,Editor,level-2,delete extra space before acknowledgement (check pdf),Space not found in xml nor editor please check in your end and align it properly,Menu bar - other,Styles,Content loading issues,People,People Training,Hariharan (TYPESETTER),3h 0m
2022-02-01 6:34:37,bir,bjr,bjr.20211051,Pre-editing,Editor,level-2,Fix the validation error showing while clicking 'Approve' button. I have attached the screenshot in the production notes.,Article moved editor page please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),7h 39m
2022-02-01 5:25:45,bjp,bjr,BJR-2021-0304.R1,Typesetter Review,Editor,level-2,"1. Figures 1d, 1e and 1f-> Please change to ""Figures 1d to 1f""2. Ref 14: Please delete page number field, and italicize book title.3. Fix probe",Copyright year changed.,XML,Others,Other,Process,Product bug,Pradheep (TYPESETTER),4h 5m
2022-02-01 9:48:22,bmj,bmjopen,bmjopen-2021-058461,Pre-editing,Editor,level-2,Query Duplication,Query duplication removed please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 38m
2022-02-01 14:13:35,bmj,bmjopen,bmjopen-2021-052095,Validation Check,Editor,level-2,Clear probe error,Unwanted direct text removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 50m
2022-02-01 12:41:23,spe,spej,SJ-0721-0040,Typesetter Check,Editor,level-2,"1. In the reference list change ""Loubens, R. de"" to ""Loubens, R."" and ""T. van Daalen, D."" to ""van Daalen, D. T.""2. Please change the appendix equation citations as mentioned in the pdfSJ-0721-0040.pdf",References issue fixed and appendix equation citations changed please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 4m
2022-02-01 8:38:49,elife,elife,70878,Typesetter Review,Editor,level-2,"Please remove the duplicate DAS from the XML ""All sequencing data generated from this study have been made available by deposition in the GEO database: GSE178080. The raw tag counts associated with different sizes of InDels are available in........"" this DAS should be removed.",duplicate fn removed,XML,Others,XML issues,Product,Product bug,Sneka (TYPESETTER),6h 24m
2022-02-01 5:05:51,bjp,bjo,BJO-2021-0160.R1,Typesetter Review,Editor,level-2,Fix probe error,Copyright year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 28m
2022-02-01 4:11:23,mbs,mgen,MGEN-D-21-00135,Typesetter Check,Editor,level-2,Please fix the DTD validation error.,Unwanted direct text removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),5h 28m
2022-02-01 6:33:05,bmj,annrheumdis,annrheumdis-2022-222115,Pre-editing,Editor,level-2,please clear validation error related to access type issue,access-type free tag added.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 33m
2022-02-01 3:33:30,elife,elife,74419,Pre-editing,Editor,level-2,"Please remove background color for table ""background:#F2F2F""",Table bg attribute removed,Menu bar - other,Styles,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),5h 11m
2022-02-01 9:31:33,elife,elife,74419,Pre-editing,Editor,level-2,"Still table background attribute are showing please fix ""background:#F2F2F2""",Vaildation cleared,Document elements,Others,Unable to add additional elements,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),4h 47m
2022-02-01 13:21:40,bjp,bjo,BJO-2021-0179.R1,Pre-editing,Editor,level-2,BJO-2021-0179.R1_ Probe error.JPG Getting probe error. Please work on it.,probe cleared,Document elements,Author,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 26m
2022-02-01 5:52:01,elife,elife,68388,Typesetter Review,Editor,level-2,"The DTD error text is remove from kriya but still showing, please check and fix.","The citation text was correct, but it's throwing error. Please check with Bala and customer.",Document elements,Others,Linking between the elements are incorrect,Product,Product New Requirement,Ranjithkumar (TYPESETTER),8h 32m
2022-02-01 5:03:11,isass,ijss,IJSSURGERY-D-20-00426,Typesetter Check,Editor,level-2,"Please remove the ""%20"" after ""doi:"" from reference 15.",space removed from reference,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 41m
2022-02-01 5:47:12,bjp,bjo,BJO-2021-0189.R1,Typesetter Review,Proofing,level-2,Proof QC report Error: this file has overset text on page(s) 7.Please assign back to Technical Support (Exeter),Fixed,Proofing scripts,Job manager,PDF issues,Product,Product bug,Aysha (TYPESETTER),3h 8m
2022-02-01 9:12:50,bjp,bjo,BJO-2021-0189.R1,Typesetter Review,Editor,level-2,Fix probe,Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 42m
2022-02-01 8:38:37,elife,elife,71229,Typesetter Review,Editor,level-2,Remove the inline image inside figure 3.,inline figure removed,Document elements,Figure component,Other,Product,Product bug,Sneka (TYPESETTER),4h 30m
2022-02-01 3:34:41,elife,elife,69709,Typesetter Review,Editor,level-2,Please fix the copyright statement issue.,copyrights updated,Document elements,Copyright statement,User unable to override the house style,People,People Training,Sneka (TYPESETTER),11h 10m
2022-02-01 5:39:28,elife,elife,71103,Typesetter Check,Editor,level-2,Please move figure 4 after its first ciation,Figure 4 moved,Document elements,List,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),3h 49m
