Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-02-04 3:32:16,ppl,bio,bio_2021_205,Typesetter Review,Editor,level-2,Pdf generation failed. Error: ext-link should not have space.,Space removed in Ext link. Probe cleared,Misc actions,View DOI,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 49m
2022-02-04 5:10:58,bjp,bjo,BJO-2021-0179.R1,Pre-editing,Editor,level-2,BJO-2021-0179.R1_ citations correction (1).pdf Please change the figure citations as mentioned in the correction PDF.,Figure citations updated,Structure content,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),2h 11m
2022-02-04 8:13:30,spe,spej,SPE-209613-PA,Pre-editing,Editor,level-2,image (11).png image (12).png kindly change the marked supplementary link to Supporting Information,Content updated,Structure content,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),4h 22m
2022-02-04 13:23:12,spe,spej,SPE-209613-PA,Pre-editing,Editor,level-2,image (13).png Kindly change the marked supplementary link to Supporting Information,Citation updated,Document elements,Others,User unable to override the house style,Product,Process Complication,Ranjithkumar (TYPESETTER),1h 11m
2022-02-04 13:17:38,elife,elife,70164,Typesetter Review,Editor,level-2,Kindly add this word 'prokaryote' in Research organism. While I try to add it shows an error.image (4).pngKindly fix.,Kwd added,Structure content,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),3h 39m
2022-02-04 10:04:30,elife,elife,71171,Typesetter Review,Editor,level-2,Change as follows vidoes and respective citation Figure 2—video 2 should be Figure 5—video 2Figure 2—video 3 should be Figure 2—video 2Figure 2—video 4 should be Figure 2—video 3Figure 2—video 5 should be Figure 2—video 4Figure 2—video 6 should be Figure 2—video 5Figure 2—video 7 should be Figure 2—video 6Figure 2—video 8 should be Figure 2—video 7Figure 2—video 9 should be Figure 2—video 8Figure 2—video 10 should be Figure 2—video 9Figure 2—video 11 should be Figure 2—video 10Figure 2—video 12 should be Figure 2—video 11,Figure video updated,Structure content,Others,Content loading issues,Product,Special Request,Muthukumar (TYPESETTER),6h 44m
2022-02-04 10:51:45,bjp,bjr,BJR-2021-0350.R1,Pre-editing,Editor,level-2,"During the SC stage, it shows the error message that [Save failed!! Unknown entity identified, check the error message and correct it in the MS and reprocess]. Tried several times even after refreshing, the same error msg appears. Please work on it.","Check with your seniors, we have given training to resolvethis error.",AHS not working,Empty tag issue,AHS Script,Product,Product New Requirement,Ranjithkumar Murugan,1h 54m
2022-02-04 10:33:55,bjp,bjj,BJJ-2021-0167.R5,Pre-editing,Editor,level-2,When approve has been given. It displays that the label is missing. Please work on it.,Validaiton cleared,AHS not working,Colspan issue,Editor Config,Product,Product Missed Requirement,Ranjithkumar Murugan,3h 58m
2022-02-04 4:50:10,elife,elife,70494,Pre-editing,Editor,level-2,"1) Please do fix the ""Table 1"" after its first citation.2) Please do move the ""Appendix-key resources table"" at the end of Appendix 1.3) While approving, error showing as ""Block missing in TblCaption"" and ""Float BLK_SP1 is duplicated"". Please do fix this.",Valdation cleared,AHS not working,Empty tag issue,Missing Functionality,Product,Product Missed Requirement,Ranjithkumar Murugan,5h 52m
2022-02-04 8:27:15,iet_books,iet_books.48858,iet_books.48858.009,Pre-editing,Editor,level-2,"et al should have ""et al."" /article/book-part/back/ref-list/ref[3]/mixed-citation/person-group/etal",Reference 3 et al dot removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 12m
