Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-17 9:17:24,bir,dmfr,dmfr.20229002,Pre-editing,Editor,level-2,Please update copyright statementKinldy Solve self-uri tag missingpls clear the DTD error,DTD error fixed and copyright statement added,Document elements,Copyright statement,Meta data loading issues,Product,Product Missed Requirement,Ayyappan (TYPESETTER),4h 13m
2022-01-17 9:42:10,bir,bjr,bjr.20229002,Pre-editing,Editor,level-2,Please update copyright statement Kinldy Solve self-uri tag missing pls clear the DTD error,DTD error cleared and Permission information added,Document elements,Copyright statement,Meta data loading issues,Product,Product Missed Requirement,Ayyappan (TYPESETTER),4h 8m
2022-01-17 8:45:34,bir,bjro,bjro.20229001,Pre-editing,Editor,level-2,Kinldy Solve self-uri tag missingPls clear the DTD error,Permission tag updated and dtd error fixed,Document elements,Copyright statement,Content loading issues,Product,Product Missed Requirement,Ayyappan (TYPESETTER),5h 22m
2022-01-17 10:27:44,bmj,bcr,bcr-2021-247291,Final Deliverables,Editor,level-2,copyright year 2022,Copyright year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 51m
2022-01-17 7:31:00,bmj,tobaccocontrol,tobaccocontrol-2021-056560,Typesetter Review,Editor,level-2,"Please add ""In press"" in reference 144",In press tag added reference 144 please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 38m
2022-01-17 3:22:20,mbs,jmm,JMM-D-21-00636,Pre-editing,Editor,level-2,Please fix the DTD validation error.,References direct text removed please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),3h 31m
2022-01-17 6:22:36,bmj,bmjgh,bmjgh-2021-007592,Typesetter Check,Editor,level-2,Please remove the unwanted deleted node. image (1).png,Unwanted deleted node removed please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 39m
2022-01-17 9:36:23,bmj,tobaccocontrol,tobaccocontrol-2021-056971,Typesetter Check,Editor,level-2,Please add supplemental disclaimer statement in XML.,Supplemental disclaimer statement added please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 14m
2022-01-17 10:16:54,mbs,ijsem,IJSEM-D-21-00599,Pre-editing,Editor,level-2,Please fix thee DTD and PMC error.,References direct text removed and unwanted double space removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 18m
2022-01-17 12:57:47,bmj,bmjinnov,bmjinnov-2021-000807,Final Deliverables,Editor,level-2,copyright year 2022,Copyright year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 26m
2022-01-17 8:52:04,bmj,ijgc,ijgc-2021-003253,Typesetter Check,Editor,level-2,Please add supplemental disclaimer statement in XML.,Supplemental disclaimer statement added please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 39m
2022-01-17 3:56:00,spe,spej,SPE-209589-PA,Pre-editing,Editor,level-2,1) Please check appendix section in attached MS. Marked 2 citations. Please correct them in kriya. Change Eqs. to Eq. 2) Check appendix figures. Check figure lable. Remove dot after 1 in Fig A.1.—3) Remove dot after 2 in Fig A.2.—4) Please generate pdf preview. Preview not available.sj-0921-0034 marked.pdf,Listed issue fixed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),3h 50m
2022-01-17 9:47:58,mbs,acmi,ACMI-D-21-00120,Pre-editing,Editor,level-2,"Reference 80: Please add the author names Bassit L, Da Silva LC, Ribeiro-Dos-Santos G, Maertens G, Carrilho FJ. I added author names, But after refresh not saved in kriya.",References 80 surname added please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 23m
2022-01-17 9:31:34,bmj,gutjnl,gutjnl-2021-324478,Typesetter Check,Editor,level-2,Please fix the validation error.,Attribute data id duplicate changed error cleared.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 3m
2022-01-17 11:26:37,bmj,bcr,bcr-2021-245445,Final Deliverables,Editor,level-2,copyright year 2022,Copyright year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 57m
2022-01-17 11:19:21,bmj,bcr,bcr-2021-247309,Final Deliverables,Editor,level-2,copyright year 2022,Copyright year changed.,XML,Others,Other,Product,Product New Requirement,Pradheep (TYPESETTER),1h 9m
