Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA,,
2022-01-24 6:51:27,elife,elife,73401,Pre-editing,Editor,level-2,1. Please fix DTD erorr 2. please fix BOX 1 citaion while ad it show as 1,Validation cleared,Probe Validation,Others,User not able to structure,People,Product Missed Requirement,Ranjithkumar (TYPESETTER),2h 46m,,
2022-01-24 7:50:28,elife,elife,70701,Typesetter Review,Proofing,level-2,PDF generation failed. process killed - task exit,Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Gowri Manohar (TYPESETTER),5h 2m,,
2022-01-24 7:21:36,isass,ijss,IJSSURGERY-D-21-00062,Typesetter Check,Proofing,level-2,Disclosure statment not displayed in proof. Please checka and update correctly. Screenshot from 2022-01-24 12-50-53.png,"This request should come from a change request. Please create a change request ticket for this article with client approved samples. For now, we are reverting this article to production.",Knowledge issue,New requirement,Workflow issues,People,Product Missed Requirement,Sathish Kumar (TYPESETTER),5h 22m,,
2022-01-24 7:16:25,isass,ijss,IJSSURGERY-D-20-00364,Typesetter Check,Proofing,level-2,Disclosure statement not displayed in proof. Please check and update. Screenshot from 2022-01-24 12-44-28.png,"Note: This request should come from a change request. Please create a change request ticket for this articles with client approved samples. For now, we are reverting this article to production.",Knowledge issue,New requirement,Workflow issues,People,People Training,Sathish Kumar (TYPESETTER),5h 26m,,
2022-01-24 12:28:15,isass,ijss,IJSSURGERY-D-19-00142,Typesetter Check,Proofing,level-2,Disclosure and Contributors statement not dispalyed in the proof. Please check and fix it. Screenshot from 2022-01-24 17-55-30.png,"This request should come from a change request. Please create a change request ticket for this articles with client approved samples. For now, we are reverting these articles to production",Knowledge issue,Not referred FAQ,PDF issues,People,People Training,Gowri Manohar (TYPESETTER),1h 33m,,
2022-01-24 11:32:54,bjp,bjo,BJO-2021-0151.R1,Typesetter Check,Proofing,level-2,Please change the placefloat of table 4 to the top of pg.no.6.,Fixed,Editor issue,Float citation,Other,Product,Special Request,Aysha (TYPESETTER),1h 39m,,
2022-01-24 1:59:23,bmj,medhum,medhum-2021-012267,Pre-editing,Editor,level-2,Please clear probe error,probe cleared,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),4h 8m,,0.75
2022-01-24 6:29:38,bmj,bmjopen,bmjopen-2021-052058,Typesetter Check,Editor,level-2,fix probe error,probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 21m,,
2022-01-24 9:52:34,elife,elife,73808,Typesetter Review,Editor,level-2,"1. Somehow the tildes are displaying incorrectly in Equation S81, but I couldn't change it. Please fix it.2. This equation is missing from PDF please fix.3. The following equations are not spaced uniformly in the output pdf, Euqtion S17a-S17f please fix.4. Please link Equations S9-S12 in the para ""The reduced notation (Figure 3a......"".5. The size of the equations was not uniform and the Table 1 overlaps with the text in the output pdf.6. PDF is not generating it shows validation error ""Attribute data-id should not be same."" please fix.",1. Fixed2. Checked taggings are correct.3. It seems uniformly aligned.4. Link added.5. Layout changed check the recent PDF.6. Fixed.,Document elements,Others,Pattern not recognised,People,Product New Requirement,Ranjithkumar (TYPESETTER),4h 33m,,
2022-01-24 5:29:03,bjp,bjj,BJJ-2021-1089.R1,Pre-editing,Editor,level-2,Fix probe error,Probe cleared,Document elements,Author,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 32m,,
2022-01-24 8:16:08,bmj,medhum,medhum-2021-012220,Typesetter Review,Editor,level-2,Please clear probe error,probe cleared,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 11m,,
2022-01-24 10:26:50,mbs,mic,MIC-D-21-00360,Pre-editing,Editor,level-2,"1. Please fix the DTD error.2. Please Change article type ""Invited Review_Microbe Profile"" to ""Microbe Profile""",article type changed and direct text removed,Document elements,Article type,Meta data loading issues,Product,Product bug,Sneka (TYPESETTER),1h 7m,,
2022-01-24 10:26:50,mbs,mic,MIC-D-21-00360,Pre-editing,Editor,level-2,"1. Please fix the DTD error.2. Please Change article type ""Invited Review_Microbe Profile"" to ""Microbe Profile""",article type changed and direct text removed,XML,Others,Meta data loading issues,Product,Product bug,Sneka (TYPESETTER),1h 7m,,
