Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-07 8:13:42,bmj,bmjopen,bmjopen-2021-055572,Typesetter Check,Proofing,level-2,Please fix table cells overflow error in table 1,Fixed,Editor issue,Reduced font size,XML issues,People,Product bug,Gowri Manohar (TYPESETTER),1h 47m
2022-01-07 6:00:57,elife,elife,71858,Typesetter Review,Proofing,level-2,Proof is not generating. Screenshot at 2022-01-07 11-29-31.pngNote that Table 5 is displaying in the beginning itself so we have given placement for Table 5 using place floats option. Please place Table 5 before Figure 9 in the proof.,"Fixed (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server.https://kriya2.kriyadocs.com/resources/elife/elife/71858/proofing/kriya2.kriyadocs.com/71858.pdf?method=server )",Proofing scripts,Job manager,Other,Product,Product bug,Aysha (TYPESETTER),4h 4m
2022-01-07 6:00:57,elife,elife,71858,Typesetter Review,Proofing,level-2,Proof is not generating. Screenshot at 2022-01-07 11-29-31.pngNote that Table 5 is displaying in the beginning itself so we have given placement for Table 5 using place floats option. Please place Table 5 before Figure 9 in the proof.,"Fixed (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server.https://kriya2.kriyadocs.com/resources/elife/elife/71858/proofing/kriya2.kriyadocs.com/71858.pdf?method=server )",Editor issue,Float citation,Other,Product,Product bug,Aysha (TYPESETTER),4h 4m
2022-01-07 11:36:48,elife,elife,69109,Pre-editing,Proofing,level-2,"PDF not generating, it shows Collect files completed. but not generating. Please check this.","proof has been generated (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server. https://kriya2.kriyadocs.com/resources/elife/elife/69109/proofing/69109.pdf?method=server",Proofing scripts,Job manager,PDF issues,Product,Product bug,Gowri Manohar (TYPESETTER),3h 11m
2022-01-07 9:10:45,spe,spej,SJ-0621-0067.R1,Typesetter Review,Editor,level-2,Please update the year as 2022 in copyright statement.,copyright year updated,Document elements,Copyright statement,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 44m
2022-01-07 4:15:52,elife,elife,68832,Typesetter Review,Proofing,level-2,PDF is not generating for this file please fix.,"Proof has been generated (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server. http://kriya2.kriyadocs.com/resources/elife/elife/68832/proofing/kriya2.kriyadocs.com/68832.pdf?method=server )",Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),5h 33m
2022-01-07 6:31:34,bmj,jech,jech-2021-218278,Final Deliverables,Proofing,level-2,"PDF generation failed. Error: unable to fetch proofing HTML: initialise tasker - {""status"":{""code"":500,""message"":""failed""},""message"":{""step"":""transform htmldoc and configWordesc to wordsecdoc"",""module"":""transform"",""task"":""transform XML: exited with code null"",""error"":null}}",Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),0h 36m
2022-01-07 6:47:50,bmj,bcr,bcr-2021-241685,Typesetter Check,Proofing,level-2,"PLease fix the placement of the floats as in Placefloat option, Also added comment as well1. Table 1 should fit in 2nd page single column (Don't continue into 2nd column)2. Figure 1 needs to place (pg. 2) 2nd column top, Figure 2 needs to place (pg. 2) 2nd column bottom and 3rd Figure needs to be place (pg.3) 1st column top.3. Table 2 should be place (pg.3) bottom.4. Table 3 should be place (pg.4) and also please ensure, all pages are bace aligned properly.","Fixed (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server. https://kriya2.kriyadocs.com/resources/bmj/bcr/bcr-2021-241685/proofing/kriya2.kriyadocs.com/bcr-2021-241685.pdf?method=server )",Proofing scripts,Job manager,Other,Product,Product bug,Aysha (TYPESETTER),5h 46m
2022-01-07 9:41:17,mbs,acmi,ACMI-D-21-00203,Typesetter Review,Proofing,level-2,Table 1 could not fit the landscape. Please fix. This is offline article.,Processed in Offline.,Offline process,New issues,Workflow issues,Process,Process Complication,Sathish Kumar (TYPESETTER),4h 42m
2022-01-07 6:33:22,bmj,ebmental,ebmental-2021-300411,Final Deliverables,Proofing,level-2,"PDF generation failed. Error: unable to fetch proofing HTML: initialise tasker - {""status"":{""code"":500,""message"":""failed""},""message"":{""step"":""transform htmldoc and configWordesc to wordsecdoc"",""module"":""transform"",""task"":""transform XML: exited with code null"",""error"":null}}",Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),0h 38m
